datetime,A,B,poměr,odchylka,pohlaví,věk
2025-09-26 22:20:46,82.35,51.68,1.5935,1.52,0,20-40
2025-09-26 22:22:29,72.07,45.43,1.5864,1.96,1,10-20
2025-09-26 22:27:57,76.6,45.37,1.6883,4.35,0,20-40
2025-09-26 22:36:19,97.45,60.93,1.5994,1.15,1,20-40
2025-09-26 22:38:17,77.37,48.81,1.5851,2.03,1,10-20
2025-09-26 22:40:59,59.46,36.46,1.6308,0.79,0,0-10
2025-09-26 22:43:42,89.03,54.12,1.6450,1.67,0,20-40
2025-09-26 22:45:38,93.94,59.93,1.5675,3.12,1,40-60
2025-09-26 22:48:10,70.15,42.48,1.6514,2.06,0,0-10
2025-09-26 22:50:31,84.02,52.96,1.5865,1.95,1,10-20
2025-09-26 23:01:05,98.62,62.85,1.5691,3.02,1,10-20
2025-09-26 23:03:25,99.01,62.04,1.5959,1.37,1,20-40
2025-09-26 23:08:01,68.64,42.82,1.6030,0.93,1,0-10
2025-09-26 23:11:11,89.43,49.53,1.8056,11.59,1,10-20
2025-09-26 23:12:08,82.96,49.53,1.6749,3.52,1,10-20
2025-09-26 23:15:21,86.76,51.66,1.6794,3.80,0,20-40
2025-09-26 23:29:41,83.98,52.04,1.6138,0.26,0,10-20
2025-09-26 23:31:14,80.1,51.63,1.5514,4.12,0,20-40
2025-09-26 23:32:55,82.97,56.72,1.4628,9.59,0,40-60
2025-09-26 23:33:33,84.83,56.72,1.4956,7.57,0,40-60
2025-09-26 23:35:42,95.6,56.36,1.6962,4.83,0,20-40
2025-09-26 23:38:56,82.64,56.21,1.4702,9.14,1,10-20
2025-09-26 23:40:46,88.39,58.54,1.5099,6.68,1,20-40
